id,name,brand,price,category,store,image_url,product_url,tags
ou_shop-sh-collection-3-piece-abaya-set-in-linen-for-women-218311590_181,طقم عباية كتان، 3 قطع,اس اتش كوليكشن,1500.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218311590_lbl_in.jpg?ts=1744992892.7467",https://ar.ounass.qa/shop-sh-collection-3-piece-abaya-set-in-linen-for-women-218311590_181.html,"- تأتي مع شيلة وفستان تحتي بلون متناسق, - حواف مطرزة, - غسل في الغسالة, 218311618, abayas, color_أزرق فاتح, ounass, أزرق فاتح, أكمام طويلة, اس اتش كوليكشن, اللون, تصميم مفتوح في الأمام, رمز المنتج, طقم, عباية, قطع, كتان"
ou_shop-sh-collection-3-piece-abaya-set-in-linen-for-women-218311579_7762,طقم عباية كتان، 3 قطع,اس اتش كوليكشن,1500.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218311579_beige_in.jpg?ts=1744992770.3411",https://ar.ounass.qa/shop-sh-collection-3-piece-abaya-set-in-linen-for-women-218311579_7762.html,"- تأتي مع شيلة وفستان تحتي بلون متناسق, - حواف مطرزة, - غسل في الغسالة, 218311617, abayas, color_بيج, ounass, أكمام طويلة, اس اتش كوليكشن, اللون, بيج, تصميم مفتوح في الأمام, رمز المنتج, طقم, عباية, قطع, كتان"
ou_shop-sh-collection-embroidered-4-piece-abaya-set-in-cotton-blend-for-women-218311584_15,طقم عباية بتطريزات مزيج قطن، 4 قطع,اس اتش كوليكشن,1600.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218311584_brown_in.jpg?ts=1745002088.4671",https://ar.ounass.qa/shop-sh-collection-embroidered-4-piece-abaya-set-in-cotton-blend-for-women-218311584_15.html,"- تصميم مفتوح في الأمام, - رمز المنتج: 218311607, - مزيج قطن, abayas, color_بني, ounass, أكمام طويلة, اس اتش كوليكشن, اللون, بتطريزات, بني, تطريزات, طقم, عباية, غسل في الغسالة, قطع, قطن, مزيج"
ou_shop-sh-collection-embellished-4-piece-abaya-set-in-silk-for-women-218311594_171,طقم عباية مزين بتطريز حرير، 4 قطع,اس اتش كوليكشن,1700.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218311594_lpi_in.jpg?ts=1744992832.4553",https://ar.ounass.qa/shop-sh-collection-embellished-4-piece-abaya-set-in-silk-for-women-218311594_171.html,"- تصميم مفتوح في الأمام, - حرير لينا, - رمز المنتج: 218311605, abayas, color_وردي فاتح, ounass, أكمام طويلة, اس اتش كوليكشن, اللون, بتطريز, تصميم مطرز, حرير, طقم, عباية, غسل في الغسالة, قطع, مزين, وردي فاتح"
ou_shop-tiya-by-sania-maskatiya-printed-abaya-in-cotton-for-women-218305194_14,عباية مزينة بنقشة قطن,تيا باي سانيا مسكاتيا,1050.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218305194_blue_in.jpg?ts=1742991745.4855",https://ar.ounass.qa/shop-tiya-by-sania-maskatiya-printed-abaya-in-cotton-for-women-218305194_14.html,"- إغلاق بأزرار وعُرى في الأمام, - قطن, 218305239, abayas, color_أزرق، متعدد الألوان, ounass, أزرق، متعدد الألوان, اللون, بنقشة, تيا باي سانيا مسكاتيا, رمز المنتج, طبعة أشجار نخيل, عباية, قطن, مزينة, يأتي المنتج مع شيلة"
ou_shop-tiya-by-sania-maskatiya-printed-abaya-in-cotton-for-women-218305193_20,عباية مزينة بنقشة قطن,تيا باي سانيا مسكاتيا,1050.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218305193_green_in.jpg?ts=1742991697.3511",https://ar.ounass.qa/shop-tiya-by-sania-maskatiya-printed-abaya-in-cotton-for-women-218305193_20.html,"- إغلاق بأزرار وعُرى في الأمام, - رمز المنتج: 218305236, - قطن, abayas, ounass, أخضر ليموني, اسم لون المصمم, بنقشة, تيا باي سانيا مسكاتيا, طبعة أشجار نخيل, عباية, قطن, مزينة, يأتي المنتج مع شيلة, يرجى ملاحظة أن الفستان التحتي يباع على حدة"
ou_shop-elna-line-pearl-embellished-abaya-in-tulle-for-women-218268799_4067,عباية مطرزة باللؤلؤ تول,ايلنا لاين,1400.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218268799_navy_in.jpg?ts=1745383129.5487",https://ar.ounass.qa/shop-elna-line-pearl-embellished-abaya-in-tulle-for-women-218268799_4067.html,"- تصميم مفتوح في الأمام, - تول, - يرجى ملاحظة أن القطعة التحتية تباع على حدة, 218268983, abayas, color_كحلي, ounass, اللون, ايلنا لاين, باللؤلؤ, تصميم مزين باللؤلؤ, تنظيف جاف, تول, رمز المنتج, عباية, كحلي, مطرزة, يأتي المنتج مع شيلة"
ou_shop-elna-line-contrast-stitch-daily-abaya-for-women-218268794_192,عباية يومية بحياكة بلون مغاير,ايلنا لاين,1050.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218268794_darkgreen_in.jpg?ts=1745412152.6459",https://ar.ounass.qa/shop-elna-line-contrast-stitch-daily-abaya-for-women-218268794_192.html,"- حياكة بلون مغاير, - يأتي المنتج مع شيلة, - يرجى ملاحظة أن القطعة التحتية تباع على حدة, 218268977, abayas, color_أخضر داكن, ounass, أخضر داكن, اللون, ايلنا لاين, بحياكة, بلون, تصميم مفتوح في الأمام, جيوب بغطاء قلاب, رمز المنتج, عباية, غسل في الغسالة, مغاير, يومية"
ou_shop-elna-line-pearl-embellished-abaya-in-taffeta-for-women-218268802_26,عباية مطرزة باللؤلؤ تفتا,ايلنا لاين,1300.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218268802_white_in.jpg?ts=1745407892.2089",https://ar.ounass.qa/shop-elna-line-pearl-embellished-abaya-in-taffeta-for-women-218268802_26.html,"- تصميم مفتوح في الأمام, - تفتا, - يرجى ملاحظة أن القطعة التحتية تباع على حدة, 218268976, abayas, color_أبيض, ounass, أبيض, اللون, ايلنا لاين, باللؤلؤ, تصميم مزين باللؤلؤ, تفتا, تنظيف جاف, رمز المنتج, عباية, مطرزة, يأتي المنتج مع شيلة"
ou_shop-elna-line-embellished-coat-style-abaya-in-crepe-for-women-218268801_191,عباية بنمط معطف مزينة بتطريزات كريب,ايلنا لاين,1300.0,Abayas,Ounass,"https://ounass-qa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218268801_offwhite_in.jpg?ts=1745411955.0616",https://ar.ounass.qa/shop-elna-line-embellished-coat-style-abaya-in-crepe-for-women-218268801_191.html,"- تصميم مزين بتطريزات, - تنظيف جاف, - جيوب بغطاء قلاب, - رمز المنتج: 218268975, abayas, color_أبيض كريمي, ounass, أبيض كريمي, إغلاق بأزرار, اللون, ايلنا لاين, بتطريزات, بنمط, عباية, كريب, مزينة, معطف, يأتي المنتج مع شيلة, ياقة بطية, يرجى ملاحظة أن القطعة التحتية تباع على حدة"
